ITEM_ID;ITEM_CODE;ITEM_NAME;ITEM_TYPE;BARCODE_STR;CATEGORY_ID;COLOR_ID;UOM_CODE;STATUS_ID;ACTIVE_FLAG
0;1000000000000;JASA TAMBAH;TAMBAH;1000000000000;0;;LOT;0;TRUE
1;1001000001014;B ANGGREK BULAN P X2 CRYL;ANGGREK BULAN P X2;1001000001014;1;14;PCS;0;TRUE
2;1001000002057;B ANGGREK BULAN P X2 WH;ANGGREK BULAN P X2;1001000002057;1;57;PCS;0;TRUE
3;1001000003037;B ANGGREK BULAN P X2 LPP;ANGGREK BULAN P X2;1001000003037;1;37;PCS;0;TRUE
4;1001000004019;B ANGGREK BULAN P X2 DPP;ANGGREK BULAN P X2;1001000004019;1;19;PCS;0;TRUE
5;1001000005053;B ANGGREK BULAN P X2 PP TUTUL;ANGGREK BULAN P X2;1001000005053;1;53;PCS;0;TRUE
6;1001000006060;B ANGGREK BULAN P X2 WHPP;ANGGREK BULAN P X2;1001000006060;1;60;PCS;0;TRUE
7;1001000007062;B ANGGREK BULAN P X2 YLFT;ANGGREK BULAN P X2;1001000007062;1;62;PCS;0;TRUE
8;1001000008045;B ANGGREK BULAN P X2 PK;ANGGREK BULAN P X2;1001000008045;1;45;PCS;0;TRUE
9;1001000009027;B ANGGREK DENDROBIUM 12P GR;ANGGREK DENDROBIUM 12P;1001000009027;1;27;PCS;0;TRUE
10;1001000010057;B ANGGREK DENDROBIUM 12P WH;ANGGREK DENDROBIUM 12P;1001000010057;1;57;PCS;0;TRUE
11;1001000011054;B ANGGREK DENDROBIUM 12P PPWH;ANGGREK DENDROBIUM 12P;1001000011054;1;54;PCS;0;TRUE
12;1001000012025;B ANGGREK DENDROBIUM 12P FTWH;ANGGREK DENDROBIUM 12P;1001000012025;1;25;PCS;0;TRUE
13;1001000013050;B ANGGREK TP X2 PP;ANGGREK TP X2;1001000013050;1;50;PCS;0;TRUE
14;1001000014025;B ASTER MINI X10 FTWH;ASTER MINI X10;1001000014025;1;25;PCS;0;TRUE
15;1001000015021;B ASTER MINI X10 FT;ASTER MINI X10;1001000015021;1;21;PCS;0;TRUE
16;1001000016040;B ASTER MINI X10 OR;ASTER MINI X10;1001000016040;1;40;PCS;0;TRUE
17;1001000017055;B ASTER MINI X10 RD;ASTER MINI X10;1001000017055;1;55;PCS;0;TRUE
18;1001000018057;B ASTER MINI X10 WH;ASTER MINI X10;1001000018057;1;57;PCS;0;TRUE
19;1001000019061;B ASTER MINI X10 YL;ASTER MINI X10;1001000019061;1;61;PCS;0;TRUE
20;1001000020055;B ANTHURIUM FLAME X7 RD;ANTHURIUM FLAME X7;1001000020055;1;55;PCS;0;TRUE
21;1001000021045;B ANTHURIUM FLAME X7 PK;ANTHURIUM FLAME X7;1001000021045;1;45;PCS;0;TRUE
22;1001000022043;B ANTHURIUM FLAME X7 PE;ANTHURIUM FLAME X7;1001000022043;1;43;PCS;0;TRUE
23;1001000023050;B ANTHURIUM FLAME X7 PP;ANTHURIUM FLAME X7;1001000023050;1;50;PCS;0;TRUE
24;1001000024061;B ANTHURIUM FLAME X7 YL;ANTHURIUM FLAME X7;1001000024061;1;61;PCS;0;TRUE
25;1001000025022;B CALALILY MAJESTIC X7 FTCR;CALALILY MAJESTIC X7;1001000025022;1;22;PCS;0;TRUE
26;1001000026027;B CALALILY MAJESTIC X7 GR;CALALILY MAJESTIC X7;1001000026027;1;27;PCS;0;TRUE
27;1001000027061;B CALALILY MAJESTIC X7 YL;CALALILY MAJESTIC X7;1001000027061;1;61;PCS;0;TRUE
28;1001000028055;B CALALILY MAJESTIC X7 RD;CALALILY MAJESTIC X7;1001000028055;1;55;PCS;0;TRUE
29;1001000029046;B CALALILY MAJESTIC X7 PKCR;CALALILY MAJESTIC X7;1001000029046;1;46;PCS;0;TRUE
30;1001000030021;B CALALILY MAJESTIC X7 FT;CALALILY MAJESTIC X7;1001000030021;1;21;PCS;0;TRUE
31;1001000031055;B CARNATION BLEND X6 RD;CARNATION BLEND X6;1001000031055;1;55;PCS;0;TRUE
32;1001000032005;B CARNATION BLEND X6 BLTOSCA;CARNATION BLEND X6;1001000032005;1;5;PCS;0;TRUE
33;1001000033021;B CARNATION BLEND X6 FT;CARNATION BLEND X6;1001000033021;1;21;PCS;0;TRUE
34;1001000034045;B CARNATION BLEND X6 PK;CARNATION BLEND X6;1001000034045;1;45;PCS;0;TRUE
35;1001000035049;B CARNATION BLEND X6 PKWH;CARNATION BLEND X6;1001000035049;1;49;PCS;0;TRUE
36;1001000036054;B CARNATION BLEND X6 PPWH;CARNATION BLEND X6;1001000036054;1;54;PCS;0;TRUE
37;1001000037057;B CARNATION BLEND X6 WH;CARNATION BLEND X6;1001000037057;1;57;PCS;0;TRUE
38;1001000038061;B CARNATION BLEND X6 YL;CARNATION BLEND X6;1001000038061;1;61;PCS;0;TRUE
39;1001000039019;B CARNATION MINI X6 DPP;CARNATION MINI X6;1001000039019;1;19;PCS;0;TRUE
40;1001000040045;B CARNATION MINI X6 PK;CARNATION MINI X6;1001000040045;1;45;PCS;0;TRUE
41;1001000041021;B CARNATION MINI X6 FT;CARNATION MINI X6;1001000041021;1;21;PCS;0;TRUE
42;1001000042042;B CARNATION MINI X6 ORYL;CARNATION MINI X6;1001000042042;1;42;PCS;0;TRUE
43;1001000043061;B CARNATION MINI X6 YL;CARNATION MINI X6;1001000043061;1;61;PCS;0;TRUE
44;1001000044040;B CARNATION MINI X6 OR;CARNATION MINI X6;1001000044040;1;40;PCS;0;TRUE
45;1001000045057;B CARNATION MINI X6 WH;CARNATION MINI X6;1001000045057;1;57;PCS;0;TRUE
46;1001000046003;B CARNATION WIN X6 BL;CARNATION WIN X6;1001000046003;1;3;PCS;0;TRUE
47;1001000047021;B CARNATION WIN X6 FT;CARNATION WIN X6;1001000047021;1;21;PCS;0;TRUE
48;1001000048045;B CARNATION WIN X6 PK;CARNATION WIN X6;1001000048045;1;45;PCS;0;TRUE
49;1001000049050;B CARNATION WIN X6 PP;CARNATION WIN X6;1001000049050;1;50;PCS;0;TRUE
50;1001000050055;B CARNATION WIN X6 RD;CARNATION WIN X6;1001000050055;1;55;PCS;0;TRUE
51;1001000051061;B CARNATION WIN X6 YL;CARNATION WIN X6;1001000051061;1;61;PCS;0;TRUE
52;1001000052010;B CARNATION FLORA X7 CRGR;CARNATION FLORA X7;1001000052010;1;10;PCS;0;TRUE
53;1001000053061;B CARNATION FLORA X7 YL;CARNATION FLORA X7;1001000053061;1;61;PCS;0;TRUE
54;1001000054011;B COSMOS PURI X5 CRMX;COSMOS PURI X5;1001000054011;1;11;PCS;0;TRUE
55;1001000055017;B COSMOS PURI X5 DPE;COSMOS PURI X5;1001000055017;1;17;PCS;0;TRUE
56;1001000056018;B COSMOS PURI X5 DPK;COSMOS PURI X5;1001000056018;1;18;PCS;0;TRUE
57;1001000057022;B COSMOS PURI X5 FTCR;COSMOS PURI X5;1001000057022;1;22;PCS;0;TRUE
58;1001000058036;B COSMOS PURI X5 LPK;COSMOS PURI X5;1001000058036;1;36;PCS;0;TRUE
59;1001000059039;B COSMOS PURI X5 MR;COSMOS PURI X5;1001000059039;1;39;PCS;0;TRUE
60;1001000060040;B COSMOS PURI X5 OR;COSMOS PURI X5;1001000060040;1;40;PCS;0;TRUE
61;1001000061043;B COSMOS PURI X5 PE;COSMOS PURI X5;1001000061043;1;43;PCS;0;TRUE
62;1001000062046;B COSMOS PURI X5 PKCR;COSMOS PURI X5;1001000062046;1;46;PCS;0;TRUE
63;1001000063050;B COSMOS PURI X5 PP;COSMOS PURI X5;1001000063050;1;50;PCS;0;TRUE
64;1001000064061;B COSMOS PURI X5 YL;COSMOS PURI X5;1001000064061;1;61;PCS;0;TRUE
65;1001000065050;B CRYSANT BULAT X7 PP;CRYSANT BULAT X7;1001000065050;1;50;PCS;0;TRUE
66;1001000066008;B CRYSANT BULAT X7 BG;CRYSANT BULAT X7;1001000066008;1;8;PCS;0;TRUE
67;1001000067061;B CRYSANT BULAT X7 YL;CRYSANT BULAT X7;1001000067061;1;61;PCS;0;TRUE
68;1001000068040;B CRYSANT BULAT X7 OR;CRYSANT BULAT X7;1001000068040;1;40;PCS;0;TRUE
69;1001000069009;B CRYSANT BULAT X7 CR;CRYSANT BULAT X7;1001000069009;1;9;PCS;0;TRUE
70;1001000070055;B CRYSANT BULAT X7 RD;CRYSANT BULAT X7;1001000070055;1;55;PCS;0;TRUE
